activity_id,assay_id,assay_chembl_id,tid,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_type_description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label,variant_id,assay_test_type,assay_description,cell_id,tissue_id,curated_by,aidx,confidence_score,confidence_score_description,molregno,compound_chembl_id,pref_name,canonical_smiles,assay_metadata_hash,canonical_smiles_by_Std,molecular_weight,num_atoms,pStandard_value,vs_activity_comment,vs_activity,vs_threshold,lo_activity_comment,lo_activity,lo_threshold,stereoSiblings,effect,assay,effect_description,assay_keywords_description
103639,147236,CHEMBL755504,137,CHEMBL237,EC50,=,6.6,nM,8.18,F,Functional,,,,,,,,BAO_0000019,assay format,,,"Effective concentration for half-maximal stimulation was determined by [35S]GTP-gamma-S, assay",,,Autocuration,CLD0,8,Homologous single protein target assigned,6902,CHEMBL80,NALOXONE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,6bdd3c17c52bcc51ab8f87a389d0432d,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,327.38,24,8.18045606445813,active,1.0,5.0,active,1.0,6.3,False,,,,
114227,220924,CHEMBL823993,137,CHEMBL237,EC50,=,20.9,nM,7.68,F,Functional,,,,,,CHO,,BAO_0000219,cell-based format,,,"Activity was evaluated in human kappa opioid receptors transfected with CHO cells by [35S]GTP-gamma-S, assay",449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,1382755,CHEMBL2110315,,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@]24CC[C@@]3(C[C@H]2C(C)(C)C(C)(C)O4)C1C5,5e1f6eb4aac428c89295e2ab323c03a5,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@]24CC[C@@]3(C[C@H]2C(C)(C)C(C)(C)O4)C1C5,395.54,29,7.679853713888946,active,1.0,5.0,active,1.0,6.3,False,,,,
139282,220924,CHEMBL823993,137,CHEMBL237,EC50,=,2.4,nM,8.62,F,Functional,,,,,,CHO,,BAO_0000219,cell-based format,,,"Activity was evaluated in human kappa opioid receptors transfected with CHO cells by [35S]GTP-gamma-S, assay",449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,280520,CHEMBL169552,,CO[C@@]12CCC3(C[C@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@H]2O5,5e1f6eb4aac428c89295e2ab323c03a5,CO[C@@]12CCC3(C[C@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@H]2O5,427.59,31,8.619788758288394,active,1.0,5.0,active,1.0,6.3,True,,,,
346532,147223,CHEMBL754911,137,CHEMBL237,EC50,=,2.4,nM,8.62,F,Functional,,Cricetulus griseus,10029.0,,,,,BAO_0000249,cell membrane format,,,Agonistic activity against kappa opioid receptor in Chinese hamster ovary membranes,,,Autocuration,CLD0,8,Homologous single protein target assigned,391927,CHEMBL242756,,Nc1nc2cc3c(cc2s1)C[C@@H]1[C@@H]2CCCC[C@]32CCN1CC1CC1,bf07d196757558cafe103871a2a3b410,Nc1nc2cc3c(cc2s1)C[C@@H]1[C@@H]2CCCC[C@]32CCN1CC1CC1,353.54,25,8.619788758288394,active,1.0,5.0,active,1.0,6.3,False,,,,
349773,92549,CHEMBL884407,137,CHEMBL237,EC50,=,1075.0,nM,5.97,F,Functional,,,,,,CHO,,BAO_0000219,cell-based format,,,Agonistic activity against human opioid Kappa receptor transfected into Chinese hamster ovary (CHO) cells using [3H]U-69593 as radioligand,449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,187558,CHEMBL332947,,CN1CCC23c4c5ccc(O)c4OC2c2nc(N)ncc2CC3(O)C1C5,5e1f6eb4aac428c89295e2ab323c03a5,CN1CCC23c4c5ccc(O)c4OC2c2nc(N)ncc2CC3(O)C1C5,352.39,26,5.968591535748375,active,1.0,5.0,inactive,0.0,6.3,True,,,,
351685,147233,CHEMBL754921,137,CHEMBL237,EC50,=,18.4,nM,7.74,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,"EC50 for binding of [35S]- GTPdeltaS in cloned human Opioid receptor kappa 1 (U-69,593) transfected onto CHO cells",449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,651834,CHEMBL1169583,,CO[C@H](C)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,901e030c965234752af5ce2b09ef2dea,CO[C@H](C)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,383.49,28,7.735182176990463,active,1.0,5.0,active,1.0,6.3,True,,,,
353126,147233,CHEMBL754921,137,CHEMBL237,EC50,=,0.1,nM,10.0,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,"EC50 for binding of [35S]- GTPdeltaS in cloned human Opioid receptor kappa 1 (U-69,593) transfected onto CHO cells",449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,1385922,CHEMBL2113671,,CO[C@]12C=C[C@@]3(C[C@H]1[C@@H](C)OCc1ccccc1)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,901e030c965234752af5ce2b09ef2dea,CO[C@]12C=C[C@@]3(C[C@H]1[C@@H](C)OCc1ccccc1)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,459.59,34,10.0,active,1.0,5.0,active,1.0,6.3,False,,,,
357033,92545,CHEMBL699591,137,CHEMBL237,EC50,=,1421.0,nM,5.85,F,Functional,,,,,,CHO,,BAO_0000219,cell-based format,,,Agonistic activity against human opioid Kappa receptor transfected into Chinese hamster ovary (CHO) cells using [3H]U-69593 as radioligand,449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,187084,CHEMBL112656,,CN1CCC23c4c5ccc(O)c4OC2c2nc(-c4ccccc4)ncc2CC3(O)C1C5,5e1f6eb4aac428c89295e2ab323c03a5,CN1CCC23c4c5ccc(O)c4OC2c2nc(-c4ccccc4)ncc2CC3(O)C1C5,413.48,31,5.8474059220725305,active,1.0,5.0,inactive,0.0,6.3,True,,,,
358926,147233,CHEMBL754921,137,CHEMBL237,EC50,=,13.9,nM,7.86,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,"EC50 for binding of [35S]- GTPdeltaS in cloned human Opioid receptor kappa 1 (U-69,593) transfected onto CHO cells",449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,651831,CHEMBL1169580,,CCC[C@](C)(O)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,901e030c965234752af5ce2b09ef2dea,CCC[C@](C)(O)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,411.54,30,7.856985199745905,active,1.0,5.0,active,1.0,6.3,True,,,,
362887,147233,CHEMBL754921,137,CHEMBL237,EC50,=,0.8,nM,9.1,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,"EC50 for binding of [35S]- GTPdeltaS in cloned human Opioid receptor kappa 1 (U-69,593) transfected onto CHO cells",449.0,,Autocuration,CLD0,8,Homologous single protein target assigned,1385923,CHEMBL2113672,,CO[C@]12C=C[C@@]3(C[C@H]1[C@H](C)OCc1ccccc1)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,901e030c965234752af5ce2b09ef2dea,CO[C@]12C=C[C@@]3(C[C@H]1[C@H](C)OCc1ccccc1)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,459.59,34,9.096910013008056,active,1.0,5.0,active,1.0,6.3,True,,,,
