activity_id,assay_id,assay_chembl_id,tid,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_type_description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label,variant_id,assay_test_type,assay_description,cell_id,tissue_id,curated_by,aidx,confidence_score,confidence_score_description,molregno,compound_chembl_id,pref_name,canonical_smiles,assay_metadata_hash,canonical_smiles_by_Std,molecular_weight,num_atoms,pStandard_value,vs_activity_comment,vs_activity,vs_threshold,lo_activity_comment,lo_activity,lo_threshold,stereoSiblings,effect,assay,effect_description,assay_keywords_description
32544,145606,CHEMBL749749,129,CHEMBL233,IC50,=,5250.0,nM,5.28,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210380,CHEMBL423694,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,378.52,28,5.279840696594043,active,1.0,5.0,inactive,0.0,6.38,False,,,,
33756,145606,CHEMBL749749,129,CHEMBL233,IC50,=,3480.0,nM,5.46,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,27831,CHEMBL278078,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,378.52,28,5.458420756053419,active,1.0,5.0,inactive,0.0,6.38,False,,,,
38634,145606,CHEMBL749749,129,CHEMBL233,IC50,=,320.0,nM,6.5,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,12225,CHEMBL13470,SNC-80,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,aeb80e345014f86795eaa3488d366326,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,449.64,33,6.494850021680094,active,1.0,5.0,weak active,1.0,6.38,True,,,,
38643,145606,CHEMBL749749,129,CHEMBL233,IC50,=,4130.0,nM,5.38,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210203,CHEMBL127802,,CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,aeb80e345014f86795eaa3488d366326,CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,404.6,30,5.384049948343599,active,1.0,5.0,inactive,0.0,6.38,False,,,,
39754,145606,CHEMBL749749,129,CHEMBL233,IC50,>,10000.0,nM,,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210133,CHEMBL126946,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,366.48,27,5.0,inactive,0.0,5.0,inactive,0.0,6.38,False,,,,
40959,145606,CHEMBL749749,129,CHEMBL233,IC50,=,8150.0,nM,5.09,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,209494,CHEMBL338980,,CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,351.49,26,5.088842391260023,weak active,1.0,5.0,inactive,0.0,6.38,True,,,,
42185,145606,CHEMBL749749,129,CHEMBL233,IC50,=,3800.0,nM,5.42,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210568,CHEMBL415521,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,348.49,26,5.42021640338319,active,1.0,5.0,inactive,0.0,6.38,False,,,,
42194,145606,CHEMBL749749,129,CHEMBL233,IC50,=,1020.0,nM,5.99,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210438,CHEMBL126884,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2c(C)cccc2C)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2c(C)cccc2C)cc1,376.54,28,5.991399828238082,active,1.0,5.0,inactive,0.0,6.38,False,,,,
43366,145606,CHEMBL749749,129,CHEMBL233,IC50,>,10000.0,nM,,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210286,CHEMBL338089,,CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,424.59,32,5.0,inactive,0.0,5.0,inactive,0.0,6.38,False,,,,
46954,145606,CHEMBL749749,129,CHEMBL233,IC50,=,3330.0,nM,5.48,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,209904,CHEMBL126255,,C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,aeb80e345014f86795eaa3488d366326,C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,388.56,29,5.47755576649368,active,1.0,5.0,inactive,0.0,6.38,False,,,,
49635,145606,CHEMBL749749,129,CHEMBL233,IC50,=,2590.0,nM,5.59,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210401,CHEMBL126857,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,417.38,28,5.586700235918748,active,1.0,5.0,inactive,0.0,6.38,False,,,,
49644,145606,CHEMBL749749,129,CHEMBL233,IC50,>,10000.0,nM,,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor mu 1 in human HEK293S cells using [125I]FK33824 as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210704,CHEMBL126842,,CCN(CC)C(=O)c1ccc(C(=C2CCN(C)CC2)c2ccccc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCN(C)CC2)c2ccccc2)cc1,362.52,27,5.0,inactive,0.0,5.0,inactive,0.0,6.38,False,,,,
