activity_id,assay_id,assay_chembl_id,tid,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_type_description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label,variant_id,assay_test_type,assay_description,cell_id,tissue_id,curated_by,aidx,confidence_score,confidence_score_description,molregno,compound_chembl_id,pref_name,canonical_smiles,assay_metadata_hash,canonical_smiles_by_Std,molecular_weight,num_atoms,pStandard_value,vs_activity_comment,vs_activity,vs_threshold,lo_activity_comment,lo_activity,lo_threshold,stereoSiblings,effect,assay,effect_description,assay_keywords_description
32543,145330,CHEMBL750418,136,CHEMBL236,IC50,=,1.56,nM,8.81,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210380,CHEMBL423694,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,378.52,28,8.806875401645538,active,1.0,5.0,active,1.0,6.64,False,,,,
33755,145330,CHEMBL750418,136,CHEMBL236,IC50,=,0.97,nM,9.01,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,27831,CHEMBL278078,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,378.52,28,9.013228265733755,active,1.0,5.0,active,1.0,6.64,False,,,,
36210,145330,CHEMBL750418,136,CHEMBL236,IC50,=,8.77,nM,8.06,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,209208,CHEMBL126382,,CCN(CC)C(=O)c1ccc(C(c2ccccc2)C2CCNCC2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(c2ccccc2)C2CCNCC2)cc1,350.51,26,8.057000406633959,active,1.0,5.0,active,1.0,6.64,True,,,,
38633,145330,CHEMBL750418,136,CHEMBL236,IC50,=,1.31,nM,8.88,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,12225,CHEMBL13470,SNC-80,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,aeb80e345014f86795eaa3488d366326,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,449.64,33,8.882728704344236,active,1.0,5.0,active,1.0,6.64,True,,,,
38642,145330,CHEMBL750418,136,CHEMBL236,IC50,=,6.53,nM,8.19,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210203,CHEMBL127802,,CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,aeb80e345014f86795eaa3488d366326,CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,404.6,30,8.185086818724926,active,1.0,5.0,active,1.0,6.64,False,,,,
39753,145330,CHEMBL750418,136,CHEMBL236,IC50,=,15.0,nM,7.82,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210133,CHEMBL126946,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,366.48,27,7.823908740944319,active,1.0,5.0,active,1.0,6.64,False,,,,
40958,145330,CHEMBL750418,136,CHEMBL236,IC50,=,11.3,nM,7.95,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,209494,CHEMBL338980,,CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,351.49,26,7.94692155651658,active,1.0,5.0,active,1.0,6.64,True,,,,
42184,145330,CHEMBL750418,136,CHEMBL236,IC50,=,0.87,nM,9.06,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210568,CHEMBL415521,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,348.49,26,9.060480747381382,active,1.0,5.0,active,1.0,6.64,False,,,,
42193,145330,CHEMBL750418,136,CHEMBL236,IC50,=,187.0,nM,6.73,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210438,CHEMBL126884,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2c(C)cccc2C)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2c(C)cccc2C)cc1,376.54,28,6.728158393463501,active,1.0,5.0,weak active,1.0,6.64,False,,,,
43365,145330,CHEMBL750418,136,CHEMBL236,IC50,=,736.0,nM,6.13,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210286,CHEMBL338089,,CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,424.59,32,6.133122185662501,active,1.0,5.0,inactive,0.0,6.64,False,,,,
46953,145330,CHEMBL750418,136,CHEMBL236,IC50,=,3.0,nM,8.52,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,209904,CHEMBL126255,,C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,aeb80e345014f86795eaa3488d366326,C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,388.56,29,8.522878745280337,active,1.0,5.0,active,1.0,6.64,False,,,,
49634,145330,CHEMBL750418,136,CHEMBL236,IC50,=,2.31,nM,8.64,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210401,CHEMBL126857,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,417.38,28,8.636388020107855,active,1.0,5.0,active,1.0,6.64,False,,,,
49643,145330,CHEMBL750418,136,CHEMBL236,IC50,=,27.0,nM,7.57,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210704,CHEMBL126842,,CCN(CC)C(=O)c1ccc(C(=C2CCN(C)CC2)c2ccccc2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCN(C)CC2)c2ccccc2)cc1,362.52,27,7.568636235841013,active,1.0,5.0,active,1.0,6.64,False,,,,
52158,145330,CHEMBL750418,136,CHEMBL236,IC50,=,0.74,nM,9.13,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210225,CHEMBL339457,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(F)c2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(F)c2)cc1,366.48,27,9.130768280269024,active,1.0,5.0,active,1.0,6.64,True,,,,
52167,145330,CHEMBL750418,136,CHEMBL236,IC50,=,2.85,nM,8.54,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210245,CHEMBL129315,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccs2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccs2)cc1,354.52,25,8.54515513999149,active,1.0,5.0,active,1.0,6.64,False,,,,
53503,145330,CHEMBL750418,136,CHEMBL236,IC50,=,1.1,nM,8.96,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor delta 1 in human HEK293S cells using [125I]-[D-Ala2]-deltorphin II as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210332,CHEMBL340131,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc([N+](=O)[O-])c2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc([N+](=O)[O-])c2)cc1,393.49,29,8.958607314841775,active,1.0,5.0,active,1.0,6.64,False,,,,
