activity_id,assay_id,assay_chembl_id,tid,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_type_description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label,variant_id,assay_test_type,assay_description,cell_id,tissue_id,curated_by,aidx,confidence_score,confidence_score_description,molregno,compound_chembl_id,pref_name,canonical_smiles,assay_metadata_hash,canonical_smiles_by_Std,molecular_weight,num_atoms,pStandard_value,vs_activity_comment,vs_activity,vs_threshold,lo_activity_comment,lo_activity,lo_threshold,stereoSiblings,effect,assay,effect_description,assay_keywords_description
32038,147162,CHEMBL753852,136,CHEMBL236,Ki,=,110.0,nM,6.96,B,Binding,,Cavia porcellus,10141.0,,Brain,,Membrane,BAO_0000249,cell membrane format,,,Displacement of [3H]EK from Opioid receptor delta 1 in guinea pig brain membrane,,955.0,Expert,CLD0,8,Homologous single protein target assigned,1798744,CHEMBL3350133,,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,d5fdf976cc6fd98f7656c177bcab9fc2,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,800.91,58,6.958607314841775,active,1.0,5.0,weak active,1.0,6.81,True,,,,
32318,145476,CHEMBL751263,136,CHEMBL236,Ki,=,39120.0,nM,4.41,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176210,CHEMBL108417,,CC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,300.83,21,4.407601153884436,inactive,0.0,5.0,inactive,0.0,6.81,False,,,,
32323,145476,CHEMBL751263,136,CHEMBL236,Ki,=,4978.0,nM,5.3,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176943,CHEMBL322717,,CCCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,370.97,26,5.3029451077274254,active,1.0,5.0,inactive,0.0,6.81,True,,,,
34471,147162,CHEMBL753852,136,CHEMBL236,Ki,=,7.8,nM,8.11,B,Binding,,Cavia porcellus,10141.0,,Brain,,Membrane,BAO_0000249,cell membrane format,,,Displacement of [3H]EK from Opioid receptor delta 1 in guinea pig brain membrane,,955.0,Expert,CLD0,8,Homologous single protein target assigned,1798749,CHEMBL3350138,,O=C(CCC(=O)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,d5fdf976cc6fd98f7656c177bcab9fc2,O=C(CCC(=O)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,881.04,64,8.10790539730952,active,1.0,5.0,active,1.0,6.81,False,,,,
34726,145476,CHEMBL751263,136,CHEMBL236,Ki,=,5011.0,nM,5.3,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176211,CHEMBL110138,,Cc1ccc(C(c2ccc(C)cc2)N2CC[C@H]2[C@H](N)c2cccc(Cl)c2)cc1,901e030c965234752af5ce2b09ef2dea,Cc1ccc(C(c2ccc(C)cc2)N2CC[C@H]2[C@H](N)c2cccc(Cl)c2)cc1,390.96,28,5.300075597257523,active,1.0,5.0,inactive,0.0,6.81,False,,,,
34731,145476,CHEMBL751263,136,CHEMBL236,Ki,=,8710.0,nM,5.06,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176204,CHEMBL110379,,CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,360.9,25,5.059981844992337,weak active,1.0,5.0,inactive,0.0,6.81,False,,,,
35962,145476,CHEMBL751263,136,CHEMBL236,Ki,=,2919.0,nM,5.54,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176508,CHEMBL448155,,COc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,901e030c965234752af5ce2b09ef2dea,COc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,358.49,27,5.5347659050119855,active,1.0,5.0,inactive,0.0,6.81,False,,,,
35967,145476,CHEMBL751263,136,CHEMBL236,Ki,=,7430.0,nM,5.13,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176734,CHEMBL321462,,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(F)cc1)c1ccc(F)cc1,901e030c965234752af5ce2b09ef2dea,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(F)cc1)c1ccc(F)cc1,398.88,28,5.129011186239425,weak active,1.0,5.0,inactive,0.0,6.81,True,,,,
37161,145476,CHEMBL751263,136,CHEMBL236,Ki,=,8819.0,nM,5.05,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176072,CHEMBL107288,,CCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,342.91,24,5.0545806573969365,weak active,1.0,5.0,inactive,0.0,6.81,True,,,,
37166,145476,CHEMBL751263,136,CHEMBL236,Ki,=,8048.0,nM,5.09,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor delta 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.8 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176545,CHEMBL108893,,CCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,342.91,24,5.094312032288148,weak active,1.0,5.0,inactive,0.0,6.81,False,,,,
