activity_id,assay_id,assay_chembl_id,tid,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_type_description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label,variant_id,assay_test_type,assay_description,cell_id,tissue_id,curated_by,aidx,confidence_score,confidence_score_description,molregno,compound_chembl_id,pref_name,canonical_smiles,assay_metadata_hash,canonical_smiles_by_Std,molecular_weight,num_atoms,pStandard_value,vs_activity_comment,vs_activity,vs_threshold,lo_activity_comment,lo_activity,lo_threshold,stereoSiblings,effect,assay,effect_description,assay_keywords_description
32548,145312,CHEMBL751918,136,CHEMBL236,EC50,=,13.7,nM,7.86,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,210380,CHEMBL423694,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,6bdd3c17c52bcc51ab8f87a389d0432d,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,378.52,28,7.863279432843593,active,1.0,5.0,active,1.0,6.3,False,,,,
33760,145312,CHEMBL751918,136,CHEMBL236,EC50,=,5.9,nM,8.23,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,27831,CHEMBL278078,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,6bdd3c17c52bcc51ab8f87a389d0432d,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,378.52,28,8.229147988357855,active,1.0,5.0,active,1.0,6.3,False,,,,
36211,145312,CHEMBL751918,136,CHEMBL236,EC50,=,121.0,nM,6.92,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,209208,CHEMBL126382,,CCN(CC)C(=O)c1ccc(C(c2ccccc2)C2CCNCC2)cc1,6bdd3c17c52bcc51ab8f87a389d0432d,CCN(CC)C(=O)c1ccc(C(c2ccccc2)C2CCNCC2)cc1,350.51,26,6.91721462968355,active,1.0,5.0,active,1.0,6.3,True,,,,
38638,145312,CHEMBL751918,136,CHEMBL236,EC50,=,3.67,nM,8.44,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,12225,CHEMBL13470,SNC-80,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,6bdd3c17c52bcc51ab8f87a389d0432d,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,449.64,33,8.435333935747911,active,1.0,5.0,active,1.0,6.3,True,,,,
38647,145312,CHEMBL751918,136,CHEMBL236,EC50,=,46.0,nM,7.34,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,210203,CHEMBL127802,,CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,6bdd3c17c52bcc51ab8f87a389d0432d,CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,404.6,30,7.337242168318426,active,1.0,5.0,active,1.0,6.3,False,,,,
39758,145312,CHEMBL751918,136,CHEMBL236,EC50,=,98.1,nM,7.01,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,210133,CHEMBL126946,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,6bdd3c17c52bcc51ab8f87a389d0432d,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,366.48,27,7.008330992620052,active,1.0,5.0,active,1.0,6.3,False,,,,
40963,145312,CHEMBL751918,136,CHEMBL236,EC50,=,36.5,nM,7.44,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,209494,CHEMBL338980,,CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,6bdd3c17c52bcc51ab8f87a389d0432d,CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,351.49,26,7.437707135543525,active,1.0,5.0,active,1.0,6.3,True,,,,
42189,145312,CHEMBL751918,136,CHEMBL236,EC50,=,7.2,nM,8.14,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,210568,CHEMBL415521,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,6bdd3c17c52bcc51ab8f87a389d0432d,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,348.49,26,8.142667503568731,active,1.0,5.0,active,1.0,6.3,False,,,,
46958,145312,CHEMBL751918,136,CHEMBL236,EC50,=,28.3,nM,7.55,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,209904,CHEMBL126255,,C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,6bdd3c17c52bcc51ab8f87a389d0432d,C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,388.56,29,7.548213564475709,active,1.0,5.0,active,1.0,6.3,False,,,,
49639,145312,CHEMBL751918,136,CHEMBL236,EC50,=,8.96,nM,8.05,F,Functional,,,,,,,,BAO_0000019,assay format,,,Effective concentration as delta agonist potency using [35S]GTP-gamma-S binding assay.,,,Expert,CLD0,8,Homologous single protein target assigned,210401,CHEMBL126857,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,6bdd3c17c52bcc51ab8f87a389d0432d,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,417.38,28,8.047691990337874,active,1.0,5.0,active,1.0,6.3,False,,,,
